trainid,author,status
0,Justin Trudeau,RT @CQualtro: Félicitations #Amazon pour l'expansion &amp; la création de 1000 nouveaux emplois à Vancouver. De bons emplois qui donnent vie à…
1,Justin Trudeau,Nous cherchons à résoudre les enjeux qui comptent le plus pour les jeunes de la Nation Nishnawbe Aski. Merci de la… https://t.co/zWybCBjjy7
2,Donald J. Trump,Heading into the 12 days with great negotiating strength because of our tremendous economy. https://t.co/4HnXkR3EhW
3,Donald J. Trump,The long anticipated release of the #JFKFiles will take place tomorrow. So interesting!
4,Donald J. Trump,....for the Middle Class. The House and Senate should consider ASAP as the process of final approval moves along. Push Biggest Tax Cuts EVER
5,Justin Trudeau,RT @NavdeepSBains: Advancing our leadership in #AI will create #jobs of the future &amp; grow the economy. Thanks @googlecanada for having me #…
6,Justin Trudeau,"Today, we join Polish communities in Canada &amp; around the world to celebrate Poland’s Independence Day: https://t.co/WxL4BZFaDP"
7,Donald J. Trump,JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!
8,Donald J. Trump,"I am proud of the Rep. House &amp; Senate for working so hard on cutting taxes {&amp; reform.} We’re getting close! Now, ho… https://t.co/bPmeYwoMhU"
9,Justin Trudeau,"RT @HarjitSajjan: Celebrating the birth of Guru Nanak Dev Ji, founder of Sikhism, by donating food and volunteering at the @SevaFoodBank  i…"
10,Donald J. Trump,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru"
11,Donald J. Trump,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....
12,Donald J. Trump,"In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!"
13,Justin Trudeau,RT @parti_liberal: Journée des vétérans autochtones : nous rendons hommage aux hommes et femmes autochtones qui ont servi. #LeCanadaseSouvi…
14,Justin Trudeau,2 years ago today. Thank you for your support - we're going to keep working hard for Canadians every single day. https://t.co/8RCRwCvRkE
15,Justin Trudeau,"Congratulations @Val_Plante, first-ever woman elected mayor of Montreal! I'm looking forward to working together on our shared priorities."
16,Donald J. Trump,Great job by MichaelCaputo on @foxandfriends.
17,Justin Trudeau,À Brampton avec @RajLiberal pour expliquer aux familles comment l’ACE améliorée les aide à joindre les deux bouts:… https://t.co/ATNSPrULpc
18,Donald J. Trump,RT @PChowka: Fox News With Hannity's Help Regains Its Ratings Dominance By Peter Barry Chowka at The Hagmann report https://t.co/ICDMCZregu…
19,Justin Trudeau,"C’était il y a 2 ans. Merci pour l’appui - nous continuerons à travailler fort pour les Canadiens, tous les jours. https://t.co/UK7RcEN6lB"
20,Donald J. Trump,My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a hi… https://t.co/WqDuLr1nyF
21,Justin Trudeau,RT @VeteransENG_CA: #Day1 of 11 Days of Remembrance… Show us your poppies! #CanadaRemembers https://t.co/h8bs4wi6eV
22,Justin Trudeau,".@cathmckenna, par ici! Voyez l’innovation canadienne à l’œuvre aux Philippines! Les e-Jeepney aident à réduire la… https://t.co/DWRkMUNqsU"
23,Donald J. Trump,"I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right."
24,Justin Trudeau,"Dix ans de travail dans la communauté, ça rapporte! Belle discussion avec la mairesse élue @Val_Plante sur ses plan… https://t.co/tEmwO2ilaj"
25,Donald J. Trump,"I have just ordered Homeland Security to step up our already Extreme Vetting Program. Being politically correct is fine, but not for this!"
26,Justin Trudeau,"RT @PattyHajdu: Focusing on prevention, increasing responsiveness &amp; expanding support will help keep more Canadians safe at work: https://t…"
27,Justin Trudeau,Today we gathered at the National Cemetery of Canada to remember #Passchendaele100 &amp; pay tribute to all who have an… https://t.co/kdp4zwMYnf
28,Donald J. Trump,.@FoxNews Chris Wallace: “More evidence of Dem collusion with Russia than GOP” https://t.co/nACQerJSiu
29,Justin Trudeau,À l’université Ton Duc Thang pour parler aux étudiants de croissance économique et de l’importance de profiter au m… https://t.co/hk6Z5nC4P9
30,Justin Trudeau,On termine une journée bien remplie au siège du Comité populaire. Merci au président Nguyễn Thành Phong pour la ren… https://t.co/pbTiNcXUDQ
31,Justin Trudeau,"Leonard Cohen était un ambassadeur de Montréal, mais aussi du Canada tout entier. Hier soir, nous avons honoré sa m… https://t.co/WnU5t5xLnj"
32,Justin Trudeau,Canadians send their condolences to those affected by today's tragic church shooting in Texas - we wish a full recovery to the injured.
33,Justin Trudeau,We’re making progress on the TPP – and working hard to make sure we get the right deal for Canadians &amp; Canadian bus… https://t.co/cMA2HSOHiI
34,Donald J. Trump,"Ed Gillespie will turn the really bad Virginia economy #'s around, and fast. Strong on crime, he might even save our great statues/heritage!"
35,Justin Trudeau,Nous sommes arrivés aux Philippines pour assister au Sommet de l’#ANASE. Merci pour le très chaleureux accueil. Mab… https://t.co/y4eyXASTFk
36,Donald J. Trump,Today is National Prescription Drug Take Back Day. Everyone can help fight the #OpioidEpidemic by participating!… https://t.co/xOrimTGON5
37,Donald J. Trump,"Congratulations to @SpeakerRyan, @GOPLeader, @SteveScalise and to the Republican Party on Budget passage yesterday. Now for biggest Tax Cuts"
38,Donald J. Trump,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was ""their soldier."" ....."
39,Justin Trudeau,"In Brampton with @RajLiberal today, speaking with families about how a stronger CCB helps them make ends meet:… https://t.co/83jfVa5kR3"
40,Donald J. Trump,Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....
41,Justin Trudeau,RT @SherryRomanado: Un honneur de représenter le Gouvernement du Canada pour les commémorations du centenaire de la Bataille de Passchendae…
42,Donald J. Trump,I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities… https://t.co/GcHKCxTNyF
43,Donald J. Trump,@NYGovCuomo @NYCMayor ...fully supports any and all of their efforts with respect to the West Side attack. #NYCStrong
44,Justin Trudeau,It's a wrap on #APEC2017 – we’ll continue to work closely with our Asia-Pacific allies to create more jobs &amp; opport… https://t.co/BfjE9EIVeZ
45,Donald J. Trump,"Will be doing a joint press conference in Hanoi, Vietnam then heading for final destination of trip, the Phillipines."
46,Donald J. Trump,"Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!"
47,Donald J. Trump,...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!
48,Justin Trudeau,RT @cafreeland: L'Asie-Pacifique est essentielle pour l'économie mondiale. Nous travaillons sur le commerce et la sécurité dans cette régio…
49,Donald J. Trump,"This will be the biggest TAX CUT in the history of our country - and we need it! #TaxReform 
Read more:… https://t.co/1qDeHBLabT"
50,Donald J. Trump,Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!
51,Justin Trudeau,RT @jyduclos: Nouveaux parents : Notre gouvernement introduit des prestations de #maternité et parentales plus souples! https://t.co/5EgMaM…
52,Donald J. Trump,....Some of those they are harshly treating have been “milking” their country for years!
53,Justin Trudeau,"Le PTP progresse, et nous ne ménageons aucun effort pour obtenir un accord profitable aux Canadiens et aux entrepri… https://t.co/lv146YRYQJ"
54,Donald J. Trump,In the coming months and years ahead I look forward to building an even STRONGER relationship between the United St… https://t.co/kHCeQSQDtk
55,Donald J. Trump,"Wishing everyone a safe and Happy Halloween!
#Halloween2017 https://t.co/BRpgXVRI8Y"
56,Justin Trudeau,RT @RalphGoodale: Excellent travail par @rcmpgrcpolice +plusieurs corps policiers au Canada+États-Unis dans des efforts pour enlever le fen…
57,Justin Trudeau,Thank you to all Indigenous veterans who served and continue to serve with pride. #CanadaRemembers https://t.co/adCnU1Mo22
58,Justin Trudeau,"Somewhere over Canada last night... (if you haven’t seen the Northern Lights in person, I highly recommend it. Come… https://t.co/Uuecznd0km"
59,Justin Trudeau,"Au sujet du Partenariat transpacifique : nous y avons beaucoup travaillé cette semaine, en Asie, et nous allons pou… https://t.co/q7nBT4dMWb"
60,Justin Trudeau,RT @JulieDzerowicz: So proud that my Private Member’s Bill M-126 has passed unanimously in @OurCommons to recognize Portuguese Heritage Mon…
61,Donald J. Trump,I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.
62,Justin Trudeau,"Premier entretien en personne avec la première ministre @jacindaardern. Au menu : commerce, changements climatiques… https://t.co/fov4Jb5QlG"
63,Justin Trudeau,"Fin de l’#APEC2017 – de concert avec nos alliés de l’Asie-Pacifique, nous créerons encore plus d’emplois &amp; d’occasi… https://t.co/59NrJ0DGHw"
64,Donald J. Trump,I am landing shortly. Can’t wait to be with our GREAT MILITARY. See you soon! https://t.co/AVLrrOxmm4
65,Donald J. Trump,"CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly ev… https://t.co/g0RgPIG2K3"
